rank,fit,score,company,title,url,source,location,fit_reason,job_market,seniority,stack_signals,published_at,report_group
687,Razoavel,0,Empresa não informada,DESENVOLVEDOR(A) DELPHI,<https://www.infojobs.com.br/vaga-de-desenvolvedora-delphi-em-parana__11601937.aspx>,browser_mcp,"-parana__11601937.aspx"">",Brazil-friendly remote,brazil_friendly,Pleno,,,pleno
688,Razoavel,0,Empresa não informada,Analista De Qualidade,<https://www.infojobs.com.br/vaga-de-analista-qualidade-em-minas-gerais__11631140.aspx>,browser_mcp,"-minas-gerais__11631140.aspx"">",Brazil-friendly remote,brazil_friendly,Pleno,,,qa
689,Razoavel,0,Empresa não informada,Desenvolvedor Fullstack - Html/CSS/PHP - Pleno/Senior,<https://www.infojobs.com.br/vaga-de-desenvolvedor-fullstack-htmlcssphp-plenosenior-em-sao-paulo__11524558.aspx>,browser_mcp,"-sao-paulo__11524558.aspx"">",Brazil-friendly remote,brazil_friendly,Senior,html-css,,senior
690,Razoavel,0,Empresa não informada,Desenvolvedor Fullstack - Jr,<https://www.infojobs.com.br/vaga-de-desenvolvedor-fullstack-jr-em-sao-paulo__11405471.aspx>,browser_mcp,"-sao-paulo__11405471.aspx"">",Brazil-friendly remote,brazil_friendly,Junior,,,junior
691,Razoavel,0,Empresa não informada,Desenvolvedor FLUIG,<https://www.infojobs.com.br/vaga-de-desenvolvedor-fluig-em-rio-grande-do-sul__11634191.aspx>,browser_mcp,"-rio-grande-do-sul__11634191.aspx"">",Brazil-friendly remote,brazil_friendly,Pleno,,,pleno
692,Razoavel,4,PagBank,Engenheiro de Software Sr. (Dados),<https://pagseguro.gupy.io/job/eyJqb2JJZCI6MTEyNTgwMzcsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal>,browser_mcp,São Paulo,Brazil-based or Remote Brazil,brazil,Senior,,,senior
693,Razoavel,0,Empresa não informada,Desenvolvedor Full Stack Pleno,<https://www.infojobs.com.br/vaga-de-desenvolvedor-full-stack-pleno-em-sao-paulo__11577470.aspx>,browser_mcp,"-sao-paulo__11577470.aspx"">",Brazil-friendly remote,brazil_friendly,Pleno,,,pleno
694,Razoavel,0,Riachuelo,Analista Jr de Qualidade Têxtil | Fornecedores Internacionais,<https://riachuelo.gupy.io/job/eyJqb2JJZCI6MTEzMzQ3NDcsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal>,browser_mcp,São Paulo,Brazil-based or Remote Brazil,brazil,Junior,,,qa
695,Razoavel,0,Empresa não informada,Especialista Em Devops / SRE,<https://www.infojobs.com.br/vaga-de-especialista-devops-sre-em-sao-paulo__11623674.aspx>,browser_mcp,"-sao-paulo__11623674.aspx"">",Brazil-friendly remote,brazil_friendly,Unspecified,,,devops
696,Razoavel,0,Empresa não informada,Desenvolvedor De Hardware,<https://www.infojobs.com.br/vaga-de-desenvolvedor-hardware-em-rio-grande-do-sul__11598771.aspx>,browser_mcp,"-rio-grande-do-sul__11598771.aspx"">",Brazil-friendly remote,brazil_friendly,Pleno,,,pleno
697,Razoavel,0,Empresa não informada,Desenvolvedor Junior,<https://www.infojobs.com.br/vaga-de-desenvolvedor-junior-em-rio-grande-do-sul__11632189.aspx>,browser_mcp,"-rio-grande-do-sul__11632189.aspx"">",Brazil-friendly remote,brazil_friendly,Junior,,,junior
698,Razoavel,0,Empresa não informada,Pessoa Desenvolvedora De Software,<https://www.infojobs.com.br/vaga-de-pessoa-desenvolvedora-software-em-rio-grande-do-sul__11531342.aspx>,browser_mcp,"-rio-grande-do-sul__11531342.aspx"">",Brazil-friendly remote,brazil_friendly,Pleno,,,pleno
699,Razoavel,0,Empresa não informada,Desenvolvedor Sênior,<https://www.infojobs.com.br/vaga-de-desenvolvedor-senior-em-rio-grande-do-sul__11494596.aspx>,browser_mcp,"-rio-grande-do-sul__11494596.aspx"">",Brazil-friendly remote,brazil_friendly,Senior,,,senior
700,Razoavel,0,Empresa não informada,Analista De Qualidade Do Fornecedor,<https://www.infojobs.com.br/vaga-de-analista-qualidade-do-fornecedor-em-sao-paulo__11634890.aspx>,browser_mcp,"-sao-paulo__11634890.aspx"">",Brazil-friendly remote,brazil_friendly,Pleno,,,qa
701,Razoavel,0,Empresa não informada,Analista De Qualidade,<https://www.infojobs.com.br/vaga-de-analista-qualidade-em-sao-paulo__11639248.aspx>,browser_mcp,"-sao-paulo__11639248.aspx"">",Brazil-friendly remote,brazil_friendly,Pleno,,,qa
702,Razoavel,0,Empresa não informada,Analista De Qualidade (Metrologia),<https://www.infojobs.com.br/vaga-de-analista-qualidade-metrologia-em-minas-gerais__11586205.aspx>,browser_mcp,"-minas-gerais__11586205.aspx"">",Brazil-friendly remote,brazil_friendly,Pleno,,,qa
703,Razoavel,0,Empresa não informada,Desenvolvedor Fullstack,<https://www.infojobs.com.br/vaga-de-desenvolvedor-fullstack-em-sao-paulo__11388145.aspx>,browser_mcp,"-sao-paulo__11388145.aspx"">",Brazil-friendly remote,brazil_friendly,Pleno,,,pleno
704,Razoavel,0,Empresa não informada,Analista De Qualidade,<https://www.infojobs.com.br/vaga-de-analista-qualidade-em-sao-paulo__11641821.aspx>,browser_mcp,"-sao-paulo__11641821.aspx"">",Brazil-friendly remote,brazil_friendly,Pleno,,,qa
705,Razoavel,0,Empresa não informada,Desenvolvedor Delphi,<https://www.infojobs.com.br/vaga-de-desenvolvedor-delphi-em-parana__11593127.aspx>,browser_mcp,"-parana__11593127.aspx"">",Brazil-friendly remote,brazil_friendly,Pleno,,,pleno
706,Razoavel,0,AMAGGI,Analista de Qualidade,<https://www.vagas.com.br/vagas/v2814722/analista-de-qualidade>,browser_mcp,,Brazil-friendly remote,brazil_friendly,Pleno,,,qa
707,Razoavel,0,Empresa não informada,DESENVOLVEDOR PL .NET,<https://www.infojobs.com.br/vaga-de-desenvolvedor-pl-net-em-minas-gerais__11484458.aspx>,browser_mcp,"-minas-gerais__11484458.aspx"">",Brazil-friendly remote,brazil_friendly,Pleno,,,pleno
708,Razoavel,0,Empresa não informada,Desenvolvedor Com Expertise Em PHP,<https://www.infojobs.com.br/vaga-de-desenvolvedor-expertise-php-em-rio-grande-do-sul__11530789.aspx>,browser_mcp,"-rio-grande-do-sul__11530789.aspx"">",Brazil-friendly remote,brazil_friendly,Pleno,,,pleno
709,Razoavel,0,Empresa não informada,Devops Pleno,<https://www.infojobs.com.br/vaga-de-devops-pleno-em-sao-paulo__11565983.aspx>,browser_mcp,"-sao-paulo__11565983.aspx"">",Brazil-friendly remote,brazil_friendly,Pleno,,,devops
710,Razoavel,0,Empresa não informada,ANALISTA DE QUALITY ASSURANCE SR,<https://www.infojobs.com.br/vaga-de-analista-quality-assurance-sr-em-minas-gerais__11513538.aspx>,browser_mcp,"-minas-gerais__11513538.aspx"">",Brazil-friendly remote,brazil_friendly,Senior,,,qa
711,Razoavel,0,Empresa não informada,Analista De Qualidade De TI,<https://www.infojobs.com.br/vaga-de-analista-qualidade-ti-em-santa-catarina__11607521.aspx>,browser_mcp,"-santa-catarina__11607521.aspx"">",Brazil-friendly remote,brazil_friendly,Pleno,,,qa
712,Razoavel,0,Empresa não informada,Analista De Qualidade,<https://www.infojobs.com.br/vaga-de-analista-qualidade-em-sao-paulo__11589684.aspx>,browser_mcp,"-sao-paulo__11589684.aspx"">",Brazil-friendly remote,brazil_friendly,Pleno,,,qa
713,Razoavel,0,Empresa não informada,ANALISTA DE QUALIDADE PL,<https://www.infojobs.com.br/vaga-de-analista-qualidade-pl-em-sao-paulo__11593922.aspx>,browser_mcp,"-sao-paulo__11593922.aspx"">",Brazil-friendly remote,brazil_friendly,Pleno,,,qa
714,Razoavel,0,Empresa não informada,Analista Desenvolvedor Pleno Sankhya,<https://www.infojobs.com.br/vaga-de-analista-desenvolvedor-pleno-sankhya-em-sao-paulo__11279003.aspx>,browser_mcp,"-sao-paulo__11279003.aspx"">",Brazil-friendly remote,brazil_friendly,Pleno,,,pleno
715,Razoavel,0,Empresa não informada,Analista De Qualidade,<https://www.infojobs.com.br/vaga-de-analista-qualidade-em-minas-gerais__11597772.aspx>,browser_mcp,"-minas-gerais__11597772.aspx"">",Brazil-friendly remote,brazil_friendly,Pleno,,,qa
716,Razoavel,0,Empresa não informada,WEG - Desenvolvedor De Sistemas E Integração,<https://www.infojobs.com.br/vaga-de-weg-desenvolvedor-sistemas-integracao-em-santa-catarina__11599966.aspx>,browser_mcp,"as-integracao-em-santa-catarina__11599966.aspx"">",Brazil-friendly remote,brazil_friendly,Pleno,,,pleno
717,Razoavel,0,Empresa não informada,Desenvolvedor Frontend Sênior,<https://www.infojobs.com.br/vaga-de-desenvolvedor-frontend-senior-em-rio-janeiro__11480937.aspx>,browser_mcp,"-rio-janeiro__11480937.aspx"">",Brazil-friendly remote,brazil_friendly,Senior,frontend,,senior
718,Razoavel,0,Nova Engevix Engenharia,Analista de Qualidade,<https://www.vagas.com.br/vagas/v2814762/analista-de-qualidade>,browser_mcp,,Brazil-friendly remote,brazil_friendly,Pleno,,,qa
719,Razoavel,0,Empresa não informada,Analista Devops Sênior (Azure),<https://www.infojobs.com.br/vaga-de-analista-devops-senior-azure-em-__11573092.aspx>,browser_mcp,"-__11573092.aspx"">",Brazil-friendly remote,brazil_friendly,Senior,azure,,devops
720,Razoavel,0,Empresa não informada,Analista De Qualidade Pleno,<https://www.infojobs.com.br/vaga-de-analista-qualidade-pleno-em-parana__11592578.aspx>,browser_mcp,"-parana__11592578.aspx"">",Brazil-friendly remote,brazil_friendly,Pleno,,,qa
721,Razoavel,0,Empresa não informada,Programador Java SR-SP,<https://www.infojobs.com.br/vaga-de-programador-java-sr-sp-em-sao-paulo__11624938.aspx>,browser_mcp,"-sao-paulo__11624938.aspx"">",Brazil-friendly remote,brazil_friendly,Senior,java,,senior
722,Razoavel,3,Ciesp,Analista Programador Pleno,<https://www.vagas.com.br/vagas/v2806391/analista-programador-pleno>,browser_mcp,,Brazil-friendly remote,brazil_friendly,Pleno,,,pleno
723,Razoavel,0,Empresa não informada,Analista De Qualidade,<https://www.infojobs.com.br/vaga-de-analista-qualidade-em-rio-grande-do-sul__11625166.aspx>,browser_mcp,"-rio-grande-do-sul__11625166.aspx"">",Brazil-friendly remote,brazil_friendly,Pleno,,,qa
724,Razoavel,0,Almaviva Solutions,11293616 | Analista de Testes SR,<https://almavivasolutions.gupy.io/job/eyJqb2JJZCI6MTEyOTM2MTYsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal>,browser_mcp,Taboão da Serra,Brazil-friendly remote,brazil_friendly,Senior,,,qa
725,Razoavel,0,GRAACC,Analista de Qualidade Sr,<https://www.vagas.com.br/vagas/v2815463/analista-de-qualidade-sr>,browser_mcp,,Brazil-friendly remote,brazil_friendly,Senior,,,qa
726,Razoavel,0,Empresa não informada,Analista Desenvolvedor Java Sênior,<https://www.infojobs.com.br/vaga-de-analista-desenvolvedor-java-senior-em-__11570004.aspx>,browser_mcp,"-__11570004.aspx"">",Brazil-friendly remote,brazil_friendly,Senior,java,,senior
727,Razoavel,0,Empresa não informada,Desenvolvedor .NET Sênior (10 Vagas),<https://www.infojobs.com.br/vaga-de-desenvolvedor-net-senior-10-vagas-em-sao-paulo__11429542.aspx>,browser_mcp,"-sao-paulo__11429542.aspx"">",Brazil-friendly remote,brazil_friendly,Senior,,,senior
728,Razoavel,0,Empresa não informada,Analista De Qualidade Pleno,<https://www.infojobs.com.br/vaga-de-analista-qualidade-pleno-em-sao-paulo__11587803.aspx>,browser_mcp,"-sao-paulo__11587803.aspx"">",Brazil-friendly remote,brazil_friendly,Pleno,,,qa
729,Razoavel,0,Grafana Labs,"Engineering Manager, Observability Dept | Ireland | Remote",<https://job-boards.greenhouse.io/grafanalabs/jobs/5984495004>,greenhouse,Republic of Ireland (Remote),international fallback,international,Unspecified,typescript; distributed systems; cloud; platform; go,2026-04-29T13:47:57.000Z,management
730,Razoavel,0,Empresa não informada,Desenvolvedor Fullstack Sênior,<https://www.infojobs.com.br/vaga-de-desenvolvedor-fullstack-senior-em-__11559996.aspx>,browser_mcp,"-__11559996.aspx"">",Brazil-friendly remote,brazil_friendly,Senior,,,senior
731,Razoavel,0,Empresa não informada,Analista Devops Sênior,<https://www.infojobs.com.br/vaga-de-analista-devops-senior-em-sao-paulo__11572537.aspx>,browser_mcp,"-sao-paulo__11572537.aspx"">",Brazil-friendly remote,brazil_friendly,Senior,,,devops
732,Razoavel,0,Empresa não informada,Desenvolvedor(A) Fullstack Júnior,<https://www.infojobs.com.br/vaga-de-desenvolvedora-fullstack-junior-em-rio-grande-do-sul__11485943.aspx>,browser_mcp,"-rio-grande-do-sul__11485943.aspx"">",Brazil-friendly remote,brazil_friendly,Junior,,,junior
733,Razoavel,0,Stefanini Group,Analista Cloud Devops SR,<https://stefanini.gupy.io/job/eyJqb2JJZCI6MTEyOTMxNjAsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal>,browser_mcp,Vitória,Brazil-friendly remote,brazil_friendly,Senior,cloud,,devops
